[INFO] 2025-06-11 19:00:04 - Iniciando ciclo contínuo: login + ciclo automático (ciclo em thread própria)
[INFO] 2025-06-11 19:00:04 - Thread ciclo: iniciando Playwright próprio.
[INFO] 2025-06-11 19:09:29 - Iniciando ciclo contínuo: login + ciclo automático (ciclo em thread própria)
[INFO] 2025-06-11 19:09:29 - Thread ciclo: iniciando Playwright próprio.
[INFO] 2025-06-11 19:09:42 - Nova varredura automática de cargas iniciada.
[INFO] 2025-06-11 19:10:02 - Ciclo de cargas finalizado. Reiniciando imediatamente.
[INFO] 2025-06-11 19:10:02 - Nova varredura automática de cargas iniciada.
[INFO] 2025-06-11 19:10:08 - Ciclo de cargas finalizado. Reiniciando imediatamente.
[INFO] 2025-06-11 19:10:08 - Nova varredura automática de cargas iniciada.
[INFO] 2025-06-11 19:10:14 - Ciclo de cargas finalizado. Reiniciando imediatamente.
[INFO] 2025-06-11 19:10:14 - Nova varredura automática de cargas iniciada.
[INFO] 2025-06-11 19:10:19 - Ciclo de cargas finalizado. Reiniciando imediatamente.
[INFO] 2025-06-11 19:10:19 - Nova varredura automática de cargas iniciada.
[INFO] 2025-06-11 19:10:24 - Ciclo de cargas finalizado. Reiniciando imediatamente.
[INFO] 2025-06-11 19:10:24 - Nova varredura automática de cargas iniciada.
[INFO] 2025-06-11 19:10:29 - Ciclo de cargas finalizado. Reiniciando imediatamente.
[INFO] 2025-06-11 19:10:29 - Nova varredura automática de cargas iniciada.
[INFO] 2025-06-11 19:10:34 - Ciclo de cargas finalizado. Reiniciando imediatamente.
[INFO] 2025-06-11 19:10:34 - Nova varredura automática de cargas iniciada.
[INFO] 2025-06-11 19:10:39 - Ciclo de cargas finalizado. Reiniciando imediatamente.
[INFO] 2025-06-11 19:10:39 - Nova varredura automática de cargas iniciada.
[INFO] 2025-06-11 19:10:45 - Ciclo de cargas finalizado. Reiniciando imediatamente.
[INFO] 2025-06-11 19:10:45 - Nova varredura automática de cargas iniciada.
[INFO] 2025-06-11 19:10:50 - Ciclo de cargas finalizado. Reiniciando imediatamente.
[INFO] 2025-06-11 19:10:50 - Nova varredura automática de cargas iniciada.
[INFO] 2025-06-11 19:10:56 - Ciclo de cargas finalizado. Reiniciando imediatamente.
